,Title,Release Year,Certificate,Runtime,Genres,Description,IMDB Rating,Metascore,Votes,Gross Revenue,genre_pull
10,The Secret Life of Pets,(2016),PG,87 min,"
Animation, Adventure, Comedy            ","
The quiet life of a terrier named Max is upended when his owner takes in Duke, a stray whom Max instantly dislikes.","

6.5
","
61        
        Metascore
            ","196,500",$368.38M,comedy
11,Despicable Me 2,(2013),PG,98 min,"
Animation, Adventure, Comedy            ","
When Gru, the world's most super-bad turned super-dad has been recruited by a team of officials to stop lethal muscle and a host of Gru's own, He has to fight back with new gadgetry, cars, and more minion madness.","

7.3
","
62        
        Metascore
            ","388,871",$368.06M,comedy
12,Deadpool,(2016),R,108 min,"
Action, Adventure, Comedy            ","
A wisecracking mercenary gets experimented on and becomes immortal but ugly, and sets out to track down the man who ruined his looks.","

8.0
","
65        
        Metascore
            ","983,802",$363.07M,comedy
13,Inside Out,(I) (2015),PG,95 min,"
Animation, Adventure, Comedy            ","
After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.","

8.2
","
94        
        Metascore
            ","678,710",$356.46M,comedy
14,Aladdin,(2019),PG,128 min,"
Adventure, Comedy, Family            ","
A kind-hearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","

6.9
","
53        
        Metascore
            ","254,382",$355.56M,comedy
15,Zootopia,(2016),PG,108 min,"
Animation, Adventure, Comedy            ","
In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","

8.0
","
78        
        Metascore
            ","475,573",$341.27M,comedy
16,Minions,(2015),PG,91 min,"
Animation, Adventure, Comedy            ","
Minions Stuart, Kevin, and Bob are recruited by Scarlet Overkill, a supervillain who, alongside her inventor husband Herb, hatches a plot to take over the world.","

6.4
","
56        
        Metascore
            ","227,370",$336.05M,comedy
17,Guardians of the Galaxy,(2014),PG-13,121 min,"
Action, Adventure, Comedy            ","
A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.","

8.1
","
76        
        Metascore
            ","1,128,163",$333.18M,comedy
18,Deadpool 2,(2018),R,119 min,"
Action, Adventure, Comedy            ","
Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool) assembles a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.","

7.7
","
66        
        Metascore
            ","544,368",$324.59M,comedy
19,Shrek the Third,(2007),PG,93 min,"
Animation, Adventure, Comedy            ","
Reluctantly designated as the heir to the land of Far, Far Away, Shrek hatches a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.","

6.1
","
58        
        Metascore
            ","297,984",$320.71M,comedy
20,Jumanji: The Next Level,(2019),PG-13,123 min,"
Action, Adventure, Comedy            ","
In Jumanji: The Next Level, the gang is back but the game has changed. As they return to rescue one of their own, the players will have to brave parts unknown from arid deserts to snowy mountains, to escape the world's most dangerous game.","

6.7
","
58        
        Metascore
            ","233,433",$316.83M,comedy
21,Thor: Ragnarok,(2017),PG-13,130 min,"
Action, Adventure, Comedy            ","
Imprisoned on the planet Sakaar, Thor must race against time to return to Asgard and stop Ragnarök, the destruction of his world, at the hands of the powerful and ruthless villain Hela.","

7.9
","
74        
        Metascore
            ","684,527",$315.06M,comedy
22,Up,(2009),PG,96 min,"
Animation, Adventure, Comedy            ","
78-year-old Carl Fredricksen travels to Paradise Falls in his house equipped with balloons, inadvertently taking a young stowaway.","

8.3
","
88        
        Metascore
            ","1,003,949",$293.00M,comedy
23,"Monsters, Inc.",(2001),G,92 min,"
Animation, Adventure, Comedy            ","
In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things may not be what they think.","

8.1
","
79        
        Metascore
            ","874,580",$289.92M,comedy
24,Home Alone,(1990),PG,103 min,"
Comedy, Family            ","
An eight-year-old troublemaker must protect his house from a pair of burglars when he is accidentally left home alone by his family during Christmas vacation.","

7.7
","
63        
        Metascore
            ","548,894",$285.76M,comedy
25,Meet the Fockers,(2004),PG-13,115 min,"
Comedy, Romance            ","
All hell breaks loose when the Byrnes family meets the Focker family for the first time.","

6.3
","
41        
        Metascore
            ","265,792",$279.26M,comedy
26,The Hangover,(2009),R,100 min,"
Comedy            ","
Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.","

7.7
","
73        
        Metascore
            ","761,214",$277.32M,comedy
27,The Grinch,(2018),PG,85 min,"
Animation, Adventure, Comedy            ","
A grumpy Grinch plots to ruin Christmas for the village of Whoville.","

6.3
","
51        
        Metascore
            ","67,348",$270.62M,comedy
28,Sing,(2016),PG,108 min,"
Animation, Comedy, Family            ","
In a city of humanoid animals, a hustling theater impresario's attempt to save his theater with a singing competition becomes grander than he anticipates even as its finalists find that their lives will never be the same.","

7.1
","
59        
        Metascore
            ","159,072",$270.40M,comedy
29,Monsters University,(2013),G,104 min,"
Animation, Adventure, Comedy            ","
A look at the relationship between Mike Wazowski (Billy Crystal) and James P. ""Sully"" Sullivan (John Goodman) during their days at Monsters University, when they weren't necessarily the best of friends.","

7.3
","
65        
        Metascore
            ","346,879",$268.49M,comedy
30,Shrek,(2001),PG,90 min,"
Animation, Adventure, Comedy            ","
A mean lord exiles fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get his land back.","

7.9
","
84        
        Metascore
            ","653,391",$267.67M,comedy
31,Despicable Me 3,(2017),PG,89 min,"
Animation, Adventure, Comedy            ","
Gru meets his long-lost, charming, cheerful, and more successful twin brother Dru, who wants to team up with him for one last criminal heist.","

6.3
","
49        
        Metascore
            ","127,544",$264.62M,comedy
32,How the Grinch Stole Christmas,(2000),PG,104 min,"
Comedy, Family, Fantasy            ","
On the outskirts of Whoville lives a green, revenge-seeking Grinch who plans to ruin Christmas for all of the citizens of the town.","

6.2
","
46        
        Metascore
            ","238,822",$260.04M,comedy
33,The Lego Movie,(2014),PG,100 min,"
Animation, Action, Adventure            ","
An ordinary LEGO construction worker, thought to be the prophesied as ""special"", is recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.","

7.7
","
83        
        Metascore
            ","342,729",$257.76M,comedy
34,The Hangover Part II,(2011),R,102 min,"
Comedy            ","
Two years after the bachelor party in Las Vegas, Phil, Stu, Alan, and Doug jet to Thailand for Stu's wedding. Stu's plan for a subdued pre-wedding brunch, however, goes seriously awry.","

6.5
","
44        
        Metascore
            ","487,512",$254.46M,comedy
35,Despicable Me,(2010),PG,95 min,"
Animation, Adventure, Comedy            ","
When a criminal mastermind uses a trio of orphan girls as pawns for a grand scheme, he finds their love is profoundly changing him for the better.","

7.6
","
72        
        Metascore
            ","529,088",$251.51M,comedy
36,Night at the Museum,(2006),PG,108 min,"
Adventure, Comedy, Family            ","
A newly recruited night security guard at the Museum of Natural History discovers that an ancient curse causes the animals and exhibits on display to come to life and wreak havoc.","

6.4
","
48        
        Metascore
            ","336,678",$250.86M,comedy
37,Men in Black,(1997),PG-13,98 min,"
Action, Adventure, Comedy            ","
A police officer joins a secret organization that polices and monitors extraterrestrial interactions on Earth.","

7.3
","
71        
        Metascore
            ","549,510",$250.69M,comedy
38,Moana,(I) (2016),PG,107 min,"
Animation, Adventure, Comedy            ","
In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","

7.6
","
81        
        Metascore
            ","314,716",$248.76M,comedy
39,Toy Story 2,(1999),G,92 min,"
Animation, Adventure, Comedy            ","
When Woody is stolen by a toy collector, Buzz and his friends set out on a rescue mission to save Woody before he becomes a museum toy property with his roundup gang Jessie, Prospector, and Bullseye.","

7.9
","
88        
        Metascore
            ","561,331",$245.85M,comedy
40,Cars,(2006),G,117 min,"
Animation, Adventure, Comedy            ","
A hot-shot race-car named Lightning McQueen gets waylaid in Radiator Springs, where he finds the true meaning of friendship and family.","

7.2
","
73        
        Metascore
            ","400,761",$244.08M,comedy
41,Bruce Almighty,(2003),PG-13,101 min,"
Comedy, Fantasy            ","
A guy who complains about God too often is given almighty powers to teach him how difficult it is to run the world.","

6.8
","
46        
        Metascore
            ","392,247",$242.83M,comedy
42,My Big Fat Greek Wedding,(2002),PG,95 min,"
Comedy, Drama, Romance            ","
A young Greek woman falls in love with a non-Greek and struggles to get her family to accept him while she comes to terms with her heritage and cultural identity.","

6.6
","
62        
        Metascore
            ","128,376",$241.44M,comedy
43,Ghostbusters,(1984),PG,105 min,"
Action, Comedy, Fantasy            ","
Three parapsychologists forced out of their university funding set up shop as a unique ghost removal service in New York City, attracting frightened yet skeptical customers.","

7.8
","
71        
        Metascore
            ","401,279",$238.63M,comedy
44,Shrek Forever After,(2010),PG,93 min,"
Animation, Adventure, Comedy            ","
Rumpelstiltskin tricks a mid-life crisis burdened Shrek into allowing himself to be erased from existence and cast in a dark alternate timeline where Rumpelstiltskin rules supreme.","

6.3
","
58        
        Metascore
            ","198,076",$238.37M,comedy
45,Brave,(2012),PG,93 min,"
Animation, Adventure, Comedy            ","
Determined to make her own path in life, Princess Merida defies a custom that brings chaos to her kingdom. Granted one wish, Merida must rely on her bravery and her archery skills to undo a beastly curse.","

7.1
","
69        
        Metascore
            ","398,297",$237.28M,comedy
46,Beverly Hills Cop,(1984),R,105 min,"
Action, Comedy, Crime            ","
A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.","

7.4
","
66        
        Metascore
            ","178,550",$234.76M,comedy
47,Rush Hour 2,(2001),PG-13,90 min,"
Action, Comedy, Crime            ","
Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.","

6.6
","
48        
        Metascore
            ","213,370",$226.16M,comedy
48,Big Hero 6,(2014),PG,102 min,"
Animation, Action, Adventure            ","
A special bond develops between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together team up with a group of friends to form a band of high-tech heroes.","

7.8
","
74        
        Metascore
            ","443,172",$222.53M,comedy
49,Alvin and the Chipmunks: The Squeakquel,(2009),PG,88 min,"
Animation, Adventure, Comedy            ","
The world-famous singing preteen chipmunk trio return to contend with the pressures of school, celebrity, and a rival female music group known as The Chipettes.","

4.5
","
41        
        Metascore
            ","47,760",$219.61M,comedy
0,Mrs. Doubtfire,(1993),PG-13,125 min,"
Comedy, Drama            ","
After a bitter divorce, an actor disguises himself as a female housekeeper to spend time with his children held in custody by his former wife.","

7.1
","
53        
        Metascore
            ","262,462",$219.20M,comedy
1,Ted,(2012),R,106 min,"
Comedy            ","
John Bennett, a man whose childhood wish of bringing his teddy bear to life came true, now must decide between keeping the relationship with the bear, Ted or his girlfriend, Lori.","

6.9
","
62        
        Metascore
            ","597,767",$218.82M,comedy
2,How to Train Your Dragon,(2010),PG,98 min,"
Animation, Action, Adventure            ","
A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","

8.1
","
75        
        Metascore
            ","712,459",$217.58M,comedy
3,Aladdin,(1992),G,90 min,"
Animation, Adventure, Comedy            ","
A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.","

8.1
","
86        
        Metascore
            ","396,632",$217.35M,comedy
4,Alvin and the Chipmunks,(2007),PG,92 min,"
Animation, Adventure, Comedy            ","
Three musical chipmunks are discovered by an aspiring songwriter who wants to use their amazing singing abilities to become famous.","

5.2
","
39        
        Metascore
            ","83,173",$217.33M,comedy
5,Ant-Man and the Wasp,(2018),PG-13,118 min,"
Action, Adventure, Comedy            ","
As Scott Lang balances being both a superhero and a father, Hope van Dyne and Dr. Hank Pym present an urgent new mission that finds the Ant-Man fighting alongside The Wasp to uncover secrets from their past.","

7.0
","
70        
        Metascore
            ","370,979",$216.65M,comedy
6,Madagascar 3: Europe's Most Wanted,(2012),PG,93 min,"
Animation, Adventure, Comedy            ","
The Madagascar animals join a struggling European circus to get back to New York, but find themselves being pursued by a psychotic animal control officer.","

6.8
","
60        
        Metascore
            ","175,786",$216.39M,comedy
7,Kung Fu Panda,(2008),PG,92 min,"
Animation, Action, Adventure            ","
To everyone's surprise, including his own, Po, an overweight, clumsy panda, is chosen as protector of the Valley of Peace. His suitability will soon be tested as the valley's arch-enemy is on his way.","

7.6
","
74        
        Metascore
            ","450,949",$215.43M,comedy
8,The Lorax,(2012),PG,86 min,"
Animation, Adventure, Comedy            ","
A 12-year-old boy searches for the one thing that will enable him to win the affection of the girl of his dreams. To find it he must discover the story of the Lorax, the grumpy yet charming creature who fights to protect his world.","

6.4
","
46        
        Metascore
            ","108,544",$214.03M,comedy
9,Austin Powers in Goldmember,(2002),PG-13,94 min,"
Action, Adventure, Comedy            ","
Upon learning that his father has been kidnapped, Austin Powers must travel to 1975 and defeat the aptly named villain Goldmember, who is working with Dr. Evil.","

6.2
","
62        
        Metascore
            ","205,704",$213.31M,comedy
10,Back to the Future,(1985),PG,116 min,"
Adventure, Comedy, Sci-Fi            ","
Marty McFly, a 17-year-old high school student, is accidentally sent thirty years into the past in a time-traveling DeLorean invented by his close friend, the eccentric scientist Doc Brown.","

8.6
","
87        
        Metascore
            ","1,148,179",$210.61M,comedy
11,Coco,(I) (2017),PG,105 min,"
Animation, Adventure, Comedy            ","
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","

8.4
","
81        
        Metascore
            ","466,186",$209.73M,comedy
12,Wedding Crashers,(2005),R,119 min,"
Comedy, Romance            ","
John Beckwith and Jeremy Grey, a pair of committed womanizers who sneak into weddings to take advantage of the romantic tinge in the air, find themselves at odds with one another when John meets and falls for Claire Cleary.","

7.0
","
64        
        Metascore
            ","348,050",$209.22M,comedy
13,Charlie and the Chocolate Factory,(2005),PG,115 min,"
Adventure, Comedy, Family            ","
A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.","

6.7
","
72        
        Metascore
            ","461,344",$206.46M,comedy
14,Ratatouille,(2007),G,111 min,"
Animation, Adventure, Comedy            ","
A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.","

8.1
","
96        
        Metascore
            ","690,411",$206.45M,comedy
15,Bad Boys for Life,(2020),R,124 min,"
Action, Comedy, Crime            ","
Miami detectives Mike Lowrey and Marcus Burnett must face off against a mother-and-son pair of drug lords who wreak vengeful havoc on their city.","

6.5
","
59        
        Metascore
            ","153,101",$206.31M,comedy
16,Austin Powers: The Spy Who Shagged Me,(1999),PG-13,95 min,"
Action, Adventure, Comedy            ","
Dr. Evil is back and has invented a new time machine that allows him to go back to the 1960s and steal Austin Powers' mojo, inadvertently leaving him ""shagless"".","

6.6
","
59        
        Metascore
            ","228,321",$206.04M,comedy
17,Ralph Breaks the Internet,(2018),PG,112 min,"
Animation, Adventure, Comedy            ","
Six years after the events of ""Wreck-It Ralph,"" Ralph and Vanellope, now friends, discover a wi-fi router in their arcade, leading them into a new adventure.","

7.0
","
71        
        Metascore
            ","151,991",$201.09M,comedy
18,Tangled,(2010),PG,100 min,"
Animation, Adventure, Comedy            ","
The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","

7.8
","
71        
        Metascore
            ","435,816",$200.82M,comedy
19,Monsters vs. Aliens,(2009),PG,94 min,"
Animation, Action, Adventure            ","
A woman transformed into a giant after she is struck by a meteorite on her wedding day becomes part of a team of monsters sent in by the U.S. government to defeat an alien mastermind trying to take over Earth.","

6.5
","
56        
        Metascore
            ","157,699",$198.35M,comedy
20,Happy Feet,(2006),PG,108 min,"
Animation, Adventure, Comedy            ","
Into the world of the Emperor Penguins, who find their soul mates through song, a penguin is born who cannot sing. But he can tap dance something fierce!","

6.4
","
77        
        Metascore
            ","181,249",$198.00M,comedy
21,Ice Age: Dawn of the Dinosaurs,(2009),PG,94 min,"
Animation, Adventure, Comedy            ","
When Sid's attempt to adopt three dinosaur eggs gets him abducted by their real mother to an underground lost world, his friends attempt to rescue him.","

6.9
","
50        
        Metascore
            ","238,754",$196.57M,comedy
22,Ice Age: The Meltdown,(2006),PG,91 min,"
Animation, Adventure, Comedy            ","
Manny, Sid, and Diego discover that the ice age is coming to an end, and join everybody for a journey to higher ground. On the trip, they discover that Manny, in fact, is not the last of the woolly mammoths.","

6.8
","
60        
        Metascore
            ","271,531",$195.33M,comedy
23,Madagascar,(2005),PG,86 min,"
Animation, Adventure, Comedy            ","
A group of animals who have spent all their life in a New York zoo end up in the jungles of Madagascar, and must adjust to living in the wild.","

6.9
","
57        
        Metascore
            ","390,331",$193.60M,comedy
24,Toy Story,(1995),G,81 min,"
Animation, Adventure, Comedy            ","
A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him as top toy in a boy's room.","

8.3
","
95        
        Metascore
            ","953,784",$191.80M,comedy
25,22 Jump Street,(2014),R,112 min,"
Action, Comedy, Crime            ","
After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.","

7.0
","
71        
        Metascore
            ","366,701",$191.72M,comedy
26,Cars 2,(2011),G,106 min,"
Animation, Adventure, Comedy            ","
Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.","

6.2
","
57        
        Metascore
            ","178,922",$191.45M,comedy
27,Teenage Mutant Ninja Turtles,(2014),PG-13,101 min,"
Action, Adventure, Comedy            ","
When a kingpin threatens New York City, a group of mutated turtle warriors must emerge from the shadows to protect their home.","

5.8
","
31        
        Metascore
            ","208,067",$191.20M,comedy
28,Men in Black II,(2002),PG-13,88 min,"
Action, Adventure, Comedy            ","
Agent Jay is sent to find Agent Kay and restore his memory after the re-appearance of a case from Kay's past.","

6.1
","
49        
        Metascore
            ","364,327",$190.42M,comedy
29,Spider-Man: Into the Spider-Verse,(2018),PG,117 min,"
Animation, Action, Adventure            ","
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","

8.4
","
87        
        Metascore
            ","475,573",$190.24M,comedy
30,Wreck-It Ralph,(2012),PG,101 min,"
Animation, Adventure, Comedy            ","
A video game villain wants to be a hero and sets out to fulfill his dream, but his quest brings havoc to the whole arcade where he lives.","

7.7
","
72        
        Metascore
            ","407,521",$189.42M,comedy
31,Grease,(1978),PG,110 min,"
Comedy, Musical, Romance            ","
Good girl Sandy Olsson and greaser Danny Zuko fell in love over the summer. When they unexpectedly discover they're now in the same high school, will they be able to rekindle their romance?","

7.2
","
70        
        Metascore
            ","260,981",$188.76M,comedy
32,The Croods,(2013),PG,98 min,"
Animation, Adventure, Comedy            ","
After their cave is destroyed, a caveman family must trek through an unfamiliar fantastical world with the help of an inventive boy.","

7.2
","
55        
        Metascore
            ","208,482",$187.17M,comedy
33,Mr. & Mrs. Smith,(2005),PG-13,120 min,"
Action, Comedy, Crime            ","
A bored married couple is surprised to learn that they are both assassins hired by competing agencies to kill each other.","

6.5
","
55        
        Metascore
            ","479,673",$186.34M,comedy
34,Pitch Perfect 2,(2015),PG-13,115 min,"
Comedy, Music            ","
After a humiliating command performance at The Kennedy Center, the Barden Bellas enter an international competition that no American group has ever won in order to regain their status and right to perform.","

6.4
","
63        
        Metascore
            ","152,829",$184.30M,comedy
35,The Polar Express,(2004),G,100 min,"
Animation, Adventure, Comedy            ","
On Christmas Eve, a young boy embarks on a magical adventure to the North Pole on the Polar Express, while learning about friendship, bravery, and the spirit of Christmas.","

6.6
","
61        
        Metascore
            ","200,055",$183.37M,comedy
36,The Simpsons Movie,(2007),PG-13,87 min,"
Animation, Adventure, Comedy            ","
After Homer pollutes the town's water supply, Springfield is encased in a gigantic dome by the EPA and the Simpsons are declared fugitives.","

7.3
","
80        
        Metascore
            ","323,093",$183.14M,comedy
37,What Women Want,(2000),PG-13,127 min,"
Comedy, Fantasy, Romance            ","
A cocky, chauvinistic advertising executive magically acquires the ability to hear what women are thinking.","

6.4
","
47        
        Metascore
            ","204,207",$182.81M,comedy
38,Liar Liar,(1997),PG-13,86 min,"
Comedy, Fantasy            ","
A fast-track lawyer can't lie for 24 hours due to his son's birthday wish after he disappoints his son for the last time.","

6.9
","
70        
        Metascore
            ","299,888",$181.41M,comedy
39,Ant-Man,(2015),PG-13,117 min,"
Action, Adventure, Comedy            ","
Armed with a super-suit with the astonishing ability to shrink in scale but increase in strength, cat burglar Scott Lang must embrace his inner hero and help his mentor, Dr. Hank Pym, pull off a plan that will save the world.","

7.3
","
64        
        Metascore
            ","633,422",$180.20M,comedy
40,Madagascar: Escape 2 Africa,(2008),PG,89 min,"
Animation, Adventure, Comedy            ","
The Madagascar animals fly back to New York City, but crash-land on an African nature reserve, where they meet others of their own kind, and Alex especially discovers his royal heritage as prince of a lion pride.","

6.7
","
61        
        Metascore
            ","220,304",$180.01M,comedy
41,Hitch,(I) (2005),PG-13,118 min,"
Comedy, Romance            ","
A smooth-talking man falls for a hardened columnist while helping a shy accountant woo a beautiful heiress.","

6.7
","
58        
        Metascore
            ","310,983",$179.50M,comedy
42,Men in Black 3,(2012),PG-13,106 min,"
Action, Adventure, Comedy            ","
Agent J travels in time to M.I.B.'s early days in 1969 to stop an alien from assassinating his friend Agent K and changing history.","

6.8
","
58        
        Metascore
            ","353,384",$179.02M,comedy
43,Pretty Woman,(1990),R,119 min,"
Comedy, Romance            ","
A man in a legal but hurtful business needs an escort for some social events, and hires a beautiful prostitute he meets... only to fall in love.","

7.1
","
51        
        Metascore
            ","313,198",$178.41M,comedy
44,Home,(II) (2015),PG,94 min,"
Animation, Adventure, Comedy            ","
An alien on the run from his own people makes friends with a girl. He tries to help her on her quest, but can be an interference.","

6.6
","
55        
        Metascore
            ","99,805",$177.40M,comedy
45,Night at the Museum: Battle of the Smithsonian,(2009),PG,105 min,"
Adventure, Comedy, Family            ","
Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.","

6.0
","
42        
        Metascore
            ","190,697",$177.24M,comedy
46,Tootsie,(1982),PG,116 min,"
Comedy, Drama, Romance            ","
Michael Dorsey, an unsuccessful actor, disguises himself as a woman in order to get a role on a trashy hospital soap.","

7.4
","
88        
        Metascore
            ","104,168",$177.20M,comedy
47,How to Train Your Dragon 2,(2014),PG,102 min,"
Animation, Action, Adventure            ","
When Hiccup and Toothless discover an ice cave that is home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends find themselves at the center of a battle to protect the peace.","

7.8
","
77        
        Metascore
            ","324,567",$177.00M,comedy
48,There's Something About Mary,(1998),R,119 min,"
Comedy, Romance            ","
A man gets a chance to meet up with his dream girl from high school, even though his date with her back then was a complete disaster.","

7.1
","
69        
        Metascore
            ","305,574",$176.48M,comedy
49,Ice Age,(2002),PG,81 min,"
Animation, Adventure, Comedy            ","
The story revolves around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat.","

7.5
","
61        
        Metascore
            ","469,255",$176.39M,comedy
0,The Lego Batman Movie,(2017),PG,104 min,"
Animation, Action, Adventure            ","
A cooler-than-ever Bruce Wayne must deal with the usual suspects as they plan to rule Gotham City, while discovering that he has accidentally adopted a teenage orphan who wishes to become his sidekick.","

7.3
","
75        
        Metascore
            ","142,743",$175.75M,comedy
1,The Boss Baby,(2017),PG,97 min,"
Animation, Adventure, Comedy            ","
A suit-wearing, briefcase-carrying baby pairs up with his 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.","

6.3
","
50        
        Metascore
            ","121,673",$175.00M,comedy
2,Crocodile Dundee,(1986),PG-13,97 min,"
Action, Adventure, Comedy            ","
An American reporter goes to the Australian outback to meet an eccentric crocodile poacher and invites him to New York City.","

6.6
","
62        
        Metascore
            ","102,591",$174.64M,comedy
3,Crazy Rich Asians,(2018),PG-13,120 min,"
Comedy, Drama, Romance            ","
This contemporary romantic comedy, based on a global bestseller, follows native New Yorker Rachel Chu to Singapore to meet her boyfriend's family.","

6.9
","
74        
        Metascore
            ","164,020",$174.53M,comedy
4,Home Alone 2: Lost in New York,(1992),PG,120 min,"
Adventure, Comedy, Crime            ","
One year after Kevin McCallister was left home alone and had to defeat a pair of bumbling burglars, he accidentally finds himself stranded in New York City - and the same criminals are not far behind.","

6.8
","
46        
        Metascore
            ","342,519",$173.59M,comedy
5,Elf,(2003),PG,97 min,"
Adventure, Comedy, Family            ","
Raised as an over-sized elf, a human travels from the North Pole to NYC to meet his biological father who doesn't know he exists and is in desperate need of some Christmas spirit.","

7.0
","
64        
        Metascore
            ","259,644",$173.40M,comedy
6,Mary Poppins Returns,(2018),PG,130 min,"
Adventure, Comedy, Family            ","
A few decades after her original visit, Mary Poppins, the magical nanny, returns to help the Banks siblings and Michael's children through a difficult time in their lives.","

6.7
","
66        
        Metascore
            ","85,792",$171.96M,comedy
